Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
29,54.0,Male,Handbag,Accessories,7170, Chennai ,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,UPI,Every 3 Months
30,31.0,Male,Lehenga,Clothing,3723, Agra ,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,UPI,Weekly
31,57.0,Female,Backpack,Accessories,2508,Pune,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33.0,Male,T-Shirt,Clothing,5787,Jaipur,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45, Net Banking ,Monthly
33,36.0,M,Jacket,Outerwear,5048, Pune ,M,Silver,Summer,,Yes,Free Shipping,Yes,Yes,37,Google Pay,Annually
34,54.0,Male,Shirt,Clothing,2874,Vadodara,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Debit Card,Quarterly
35,36.0,Male,Ethnic Top,Clothing,6993,Hyderabad,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PhonePe,Quarterly
36,54.0,Female,Lehenga,Clothing,2620, Kochi ,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,CASH,Bi-Weekly
37,35.0,Male,Trousers,Clothing,5311, Vadodara ,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44, Google Pay ,Fortnightly
38,35.0,Female,T-Shirt,Clothing,3277,Jaipur  ,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Paytm,Weekly
39,29.0,Male,T-Shirt,Clothing,2789,Mumbai,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44,GOOGLE PAY,Every 3 Months
40,70.0,Female,Saree,Clothing,4491,Varanasi,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,upi,Monthly
41,69.0,M,Scarf,Accessories,5659,SURAT,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67.0,Female,Wallet,Accessories,3096, Pune ,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40, Paytm ,Annually
43,20.0,F,Coat,Outerwear,7506,Bhopal,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,Google Pay,Annually
44,25.0,Male,Belt,Accessories,5243,Ahmedabad  ,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,Google Pay,Fortnightly
45,39.0,F,Wallet,Accessories,3968,surat,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,Debit Card,Weekly
46,50.0,Male,Jeans,Clothing,1754,Bengaluru,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25, UPI ,Annually
47,57.0,female,Saree,Clothing,3176,Kochi,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55.0,F,Wallet,Accessories,4086,Nagpur,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Paytm,Weekly
49,,Female,Shirt,Clothing,4012,Hyderabad,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,UPI,Monthly
50,68.0,Other,Kurti,Clothing,2060,Vadodara,S,Indigo,Spring,,Yes,Next Day Air,Yes,Yes,34, Debit Card ,Bi-Weekly
51,49.0,Male,Kurti,Clothing,2086, Ahmedabad ,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,39,GOOGLE PAY,Bi-Weekly
52,59.0,Male,Trousers,Clothing,4438,Hyderabad,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Cash,Quarterly
53,42.0,M,Shirt,Clothing,1314,mumbai,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Phone Pay,Weekly
54,29.0,Male,T-Shirt,Clothing,1865,Kolkata,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,PhonePe,Weekly
55,47.0,Female,Coat,Outerwear,7146,,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Credit Card,Bi-Weekly
56,40.0,Male,Jacket,Outerwear,1972,Hyderabad,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Net Banking,Annually
57,41.0,Female,Handbag,Accessories,5326,vadodara,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Phone Pay,Weekly
58,21.0,Male,Coat,Outerwear,4727,BHOPAL,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69.0,Male,Lehenga,Clothing,3877,mumbai,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Net Banking,Monthly
60,63.0,female,Wallet,Accessories,5789,LUCKNOW,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4, Debit Card ,Weekly
61,50.0,Male,Jeans,Clothing,2591,Hyderabad,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Debit Card,Weekly
62,55.0,Female,Backpack,Accessories,5250,Kochi,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Paytm,Every 3 Months
63,30.0,Male,Sneakers,Footwear,1512,Indore  ,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33.0,Female,Handbag,Accessories,6043,surat,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Paytm,Weekly
65,65.0,Male,Shoes,Footwear,6253,AHMEDABAD,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Cash,Fortnightly
66,65.0,M,Wallet,Accessories,2753,KOCHI,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44, Net Banking ,Every 3 Months
67,,Female,Kurta,Clothing,7059,ahmedabad,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,phonepe,Every 3 Months
68,45.0,Female,Coat,Outerwear,2568,Indore,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Cash,Monthly
69,57.0,M,Watch,Accessories,3480,patna,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,net banking,Every 3 Months
70,48.0,male,Shawl,Accessories,5290, Vadodara ,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Net Banking,Weekly
71,22.0,M,Handbag,Accessories,2044,SURAT,M,Magenta,Fall,,Yes,Express,Yes,Yes,32,phonepe,Every 3 Months
1764,37.0,Male,Shawl,Accessories,7154,Chennai,M,Lavender,Winter,3.9,No,Store Pickup,No,No,28,Debit Card,Annually
73,18.0,Female,Shirt,Clothing,1953,Jaipur  ,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,paytm,Every 3 Months
74,48.0,F,Trousers,Clothing,6227,Surat,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,UPI,Bi-Weekly
75,49.0,M,Cap,Accessories,4524,patna,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64.0,Male,Sunglasses,Accessories,6504,DELHI,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,GOOGLE PAY,Annually
77,50.0,Female,Watch,Accessories,3078, Pune ,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Paytm,Monthly
78,22.0,Male,Jeans,Clothing,4050,jaipur,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Net Banking,Fortnightly
79,50.0,Female,Kurta,Clothing,6959,delhi,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Debit Card,Fortnightly
80,38.0,Male,Jacket,Outerwear,7030,Bhopal,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Every 3 Months
81,19.0,female,Mojaris,Footwear,5334,Ahmedabad,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,24,Cash,Every 3 Months
82,67.0,Male,Shoes,Footwear,7057,Chandigarh,L,Maroon,Summer,,Yes,Express,Yes,Yes,36,Paytm,Every 3 Months
83,19.0,Female,T-Shirt,Clothing,2004, Agra ,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36.0,Male,Saree,Clothing,3065, Nagpur ,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34, Cash ,Weekly
85,52.0,Male,Coat,Outerwear,2209,Ahmedabad  ,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Credit Card,Every 3 Months
86,53.0,Female,Shawl,Accessories,7177,Bengaluru,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Cash,Bi-Weekly
87,24.0,Male,Ethnic Top,Clothing,3169,Bengaluru,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,PhonePe,Bi-Weekly
88,52.0,Male,,Footwear,3930,delhi,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,upi,Fortnightly
89,33.0,Male,Kurta,Clothing,3482,Chennai  ,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Cash,Monthly
90,47.0,Male,Jacket,Outerwear,6061, Lucknow ,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Net Banking,Quarterly
91,25.0,Female,Watch,Accessories,3518,Pune,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Paytm,Monthly
92,44.0,female,Sunglasses,Accessories,7291,Jaipur,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,upi,Every 3 Months
93,61.0,male,Jacket,Outerwear,6566,Pune  ,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,CREDIT CARD,Every 3 Months
94,37.0,Female,Saree,Clothing,4748,JAIPUR,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,PhonePe,Weekly
95,58.0,male,T-Shirt,Clothing,5712,Ahmedabad,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Cash,Weekly
96,37.0,Female,Mojaris,Footwear,7607,BHOPAL,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,UPI,Monthly
97,32.0,Other,Handbag,Accessories,5375, Mumbai ,S,Gold,Spring,,Yes,Express,Yes,Yes,43,Google Pay,Every 3 Months
98,21.0,Female,Slippers,Footwear,6755,DELHI,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,credit card,Annually
99,20.0,Male,Jacket,Clothing,5156,Indore,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Google Pay,Annually
100,26.0,Male,Ethnic Top,Clothing,3123,chennai,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62.0,male,Cap,Accessories,7388, Bengaluru ,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31, UPI ,Fortnightly
102,27.0,Male,Coat,Outerwear,6567,Bhopal,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50, UPI ,Bi-Weekly
103,51.0,Female,Lehenga,Clothing,5055,ahmedabad,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,UPI,Quarterly
104,54.0,Male,Boots,Footwear,6836,Bengaluru  ,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,DEBIT CARD,Bi-Weekly
105,55.0,F,Sunglasses,Accessories,1980, Delhi ,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,Net Banking,Monthly
106,69.0,M,Wallet,Accessories,7091,BENGALURU,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Paytm,Annually
107,64.0,Female,Jacket,Outerwear,2703,Chennai,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28.0,female,Sneakers,Footwear,4933,SURAT,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46, Credit Card ,Fortnightly
109,70.0,Female,Lehenga,Clothing,6041,Kochi  ,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,CASH,Bi-Weekly
110,58.0,Female,Saree,Clothing,6342,Bengaluru,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Cash,Fortnightly
111,56.0,Other,Handbag,Accessories,2049,Delhi,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Cash,Fortnightly
112,26.0,Male,Watch,Accessories,5642,Chennai,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9, Credit Card ,Annually
113,37.0,female,Wallet,Accessories,4896,kochi,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28, Paytm ,Bi-Weekly
114,44.0,Male,Cap,Accessories,4010,PUNE,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,Net Banking,Quarterly
115,70.0,Male,Coat,Outerwear,6940,Jaipur,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,UPI,Weekly
116,53.0,Male,Kurti,Clothing,7127,Surat  ,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,UPI,Every 3 Months
117,55.0,Female,Sandals,Footwear,6306,Surat,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Debit Card,Annually
118,50.0,Male,Boots,Footwear,2261,Lucknow,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Google Pay,Fortnightly
119,50.0,Male,Saree,Clothing,3537,Patna,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Paytm,Bi-Weekly
120,38.0,Male,Coat,Outerwear,5826,Agra  ,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,PHONEPE,Annually
121,64.0,Female,Cap,Accessories,6341, Pune ,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32,Paytm,Annually
122,19.0,Male,Shirt,Clothing,5289,Nagpur,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Debit Card,Fortnightly
123,40.0,Other,Belt,Accessories,2871,Varanasi  ,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Net Banking,Fortnightly
124,57.0,M,,Clothing,6800,hyderabad,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Google Pay,Weekly
125,44.0,Female,Lehenga,Clothing,6279,Chennai,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,Google Pay,Annually
126,49.0,Female,Lehenga,Clothing,4208,Pune,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Cash,Every 3 Months
127,43.0,Female,Ethnic Top,Clothing,2787,Patna  ,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24.0,Female,Lehenga,Clothing,6560,SURAT,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,google pay,Weekly
129,20.0,M,Scarf,Accessories,2433, Chandigarh ,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,UPI,Fortnightly
130,24.0,female,Kurta,Clothing,5059,Hyderabad,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PhonePe,Bi-Weekly
131,44.0,male,Handbag,Accessories,3037,Patna,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,GOOGLE PAY,Fortnightly
132,28.0,Male,Saree,Clothing,2339,pune,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30.0,Male,Backpack,Accessories,4414,AGRA,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,UPI,Weekly
134,52.0,Female,T-Shirt,Clothing,4961,Mumbai,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Net Banking,Annually
135,43.0,female,Shawl,Accessories,7176, Lucknow ,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,NET BANKING,Monthly
136,43.0,Male,Shoes,Footwear,6267,Patna  ,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PhonePe,Quarterly
137,39.0,Female,Jacket,Clothing,6518,Kolkata,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4, Credit Card ,Quarterly
138,68.0,Male,Boots,Footwear,3210,BHOPAL,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PhonePe,Weekly
139,68.0,Male,Jeans,Clothing,2105,Bhopal,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,DEBIT CARD,Weekly
140,49.0,Male,Coat,Outerwear,7215,VARANASI,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,phonepe,Annually
141,63.0,Female,Jeans,Clothing,2176, Chandigarh ,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56.0,female,Shawl,Accessories,3569,Pune,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,Paytm,Weekly
143,37.0,male,Jacket,Outerwear,4500, Delhi ,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33, PhonePe ,Fortnightly
144,30.0,F,Coat,Outerwear,3579,Delhi,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,paytm,Quarterly
145,19.0,Male,Loafers,Footwear,3314,Varanasi,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,PhonePe,Monthly
146,24.0,Female,Cap,Accessories,7301, Patna ,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,DEBIT CARD,Quarterly
147,52.0,female,Kurti,Clothing,2212,jaipur,S,Black,Fall,4.0,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
148,63.0,Male,Boots,Footwear,4870, Bengaluru ,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,PhonePe,Fortnightly
149,37.0,Female,Backpack,Accessories,6925, Pune ,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47, Google Pay ,Annually
150,38.0,Female,Kurta,Clothing,5595,KOLKATA,M,White,Summer,,Yes,Free Shipping,Yes,Yes,14,Debit Card,Monthly
151,35.0,Male,Mojaris,Footwear,7261, Ahmedabad ,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Google Pay,Every 3 Months
152,28.0,Female,Scarf,Accessories,3689,Jaipur  ,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Net Banking,Annually
153,30.0,Male,,Clothing,6527,Chennai,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,Net Banking,Annually
154,69.0,Male,T-Shirt,Clothing,4212,Delhi,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41.0,Male,Kurti,Clothing,7232,Agra,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Debit Card,Quarterly
156,63.0,Male,Saree,Clothing,5799,,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Cash,Quarterly
157,35.0,F,Jeans,Clothing,1972,bhopal,M,Lavender,Fall,4.0,Yes,Standard,Yes,Yes,40,PHONEPE,Annually
158,36.0,Female,Wallet,Accessories,5017,Surat,S,Yellow,Fall,3.0,Yes,Next Day Air,Yes,Yes,1,CREDIT CARD,Fortnightly
159,25.0,Female,Trousers,Clothing,5466,Jaipur  ,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,CASH,Monthly
160,58.0,,Cap,Accessories,1903,VARANASI,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39, Credit Card ,Every 3 Months
161,27.0,Male,Shawl,Accessories,1602,Nagpur,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,UPI,Monthly
162,65.0,Male,Wallet,Accessories,3621,Nagpur,M,Olive,Fall,3.0,Yes,Express,Yes,Yes,29,Credit Card,Fortnightly
163,54.0,Male,Handbag,Accessories,5456,Varanasi  ,M,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,31,paytm,Bi-Weekly
164,54.0,F,Shirt,Clothing,5206,BHOPAL,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Phone Pay,Weekly
165,59.0,Female,Belt,Accessories,4945,Pune,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Google Pay,Fortnightly
166,42.0,M,Shawl,Accessories,4689,Mumbai,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7, Credit Card ,Monthly
167,46.0,F,Boots,Footwear,2368,Bengaluru,XL,Indigo,Fall,4.0,Yes,Store Pickup,Yes,Yes,30,google pay,Monthly
168,33.0,Female,Belt,Accessories,1897,Nagpur,M,Green,Fall,4.0,Yes,Express,Yes,Yes,14,upi,Every 3 Months
169,34.0,M,Sneakers,Footwear,6156,Chennai,M,Magenta,Summer,3.0,Yes,Express,Yes,Yes,5,phonepe,Fortnightly
170,27.0,Female,Jacket,Outerwear,2403,Nagpur  ,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,Credit Card,Every 3 Months
171,52.0,Male,Ethnic Top,Clothing,1700,NAGPUR,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Cash,Bi-Weekly
172,29.0,Male,Shirt,Clothing,2634,Nagpur,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,google pay,Weekly
173,54.0,M,Cap,Accessories,4916,Mumbai,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Cash,Bi-Weekly
174,25.0,Male,Handbag,Accessories,3374,Mumbai,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30, Debit Card ,Annually
175,41.0,Male,Loafers,Footwear,2497,chennai,L,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,Cash,Annually
176,53.0,Male,Coat,Outerwear,6372,delhi,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Credit Card,Annually
177,53.0,Male,Handbag,Accessories,6183,Delhi,L,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,UPI,Quarterly
178,21.0,Other,Lehenga,Clothing,3133,Agra,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47, Cash ,Monthly
179,61.0,Female,Lehenga,Clothing,3211,Mumbai,L,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,debit card,Quarterly
180,64.0,Female,Loafers,Footwear,2322,Bhopal,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Google Pay,Fortnightly
181,51.0,M,Sneakers,Footwear,5952,Kolkata,L,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Google Pay,Fortnightly
182,32.0,Male,Kurta,Clothing,4722,Hyderabad,M,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,PhonePe,Weekly
183,38.0,Male,Backpack,Accessories,7185,Chandigarh,XL,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,cash,Annually
184,58.0,Other,Jacket,Clothing,2318,Nagpur,XL,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Cash,Weekly
185,32.0,Female,Shoes,Footwear,2527,Kolkata,L,Cyan,Spring,3.0,Yes,Express,Yes,Yes,40,PhonePe,Fortnightly
186,46.0,F,Ethnic Top,Clothing,2212,chennai,XL,Silver,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Google Pay,Fortnightly
187,39.0,Female,Wallet,Accessories,4298,Varanasi  ,S,Lavender,Summer,2.9,Yes,Standard,Yes,Yes,31, Debit Card ,Annually
